Name,Gender,Korean Name,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active,disband
Nature,F,네이처,03.08.2018,n.CH,9,9,-,Yes,0
Pink Fantasy,F,핑크판타지,28.10.2018,My Doll,8,8,-,Yes,0
CoCoSoRi,F,코코소리,05.01.2016,MOLE,2,2,-,No,06.03.2019
Heygirls,F,헤이걸스,20.11.2017,Moai,4,4,-,Yes,0
BVNDIT,F,밴디트,10.04.2019,MNH,5,5,-,Yes,0
F-ve Dolls,F,파이브돌스,20.01.2011,MBK,6,5,-,No,03.04.2015
myB,F,마이비,25.08.2015,Maroo,6,6,-,No,14.12.2016
Bonus Baby,F,보너스베이비,01.01.2017,Maroo,6,6,-,No,31.07.2020
KHAN,F,칸,23.05.2018,Maroo,2,2,-,No,01.12.2019
Sha Sha,F,샤샤,27.02.2018,Major Ent,6,6,-,No,17.07.2019
Wassup,F,와썹,07.08.2013,Mafia,7,7,-,No,10.02.2019
Hash Tag,F,해시태그,11.10.2017,LUK,7,7,-,Yes,0
Gawi Bawi Bo,F,지비비,01.05.2018,LOUDers,5,5,-,Yes,0
Dorothy,F,도로시,16.08.2016,Leek Mill,3,5,-,No,01.01.2017
Honey Popcorn,F,허니팝콘,21.03.2018,Kyun Create,3,3,-,Yes,0
Wable,F,와블,17.02.2016,Kiwi,2,2,-,Yes,0
Bulldok,F,불독,20.10.2016,Kconic,5,3,-,No,01.11.2018
15&,F,피프틴앤드,05.10.2012,JYP,2,2,-,No,05.08.2019
4TEN,F,포텐,26.08.2014,Jungle,4,4,-,Yes,0
OhBliss,F,오블리스,17.10.2016,JT Corea,5,5,-,Yes,0
Tahiti,F,타히티,23.06.2012,J-line,5,6,-,No,23.07.2018
Gugudan,F,구구단,28.06.2016,Jellyfish,8,9,-,Yes,0
AiRiSu,F,아이리수,25.07.2018,Jang,4,4,-,Yes,0
Two X,F,투엑스,20.08.2012,J Tune,4,5,-,No,01.01.2017
Dreamnote,F,드림노트,07.11.2018,iME,6,8,-,Yes,0
ELRIS,F,엘리스,01.07.2017,Hunus,7,5,-,Yes,0
I.C.E,F,아이스,16.11.2015,HS,3,4,-,Yes,0
O21,F,오투원,21.06.2016,Houxiu,3,6,-,No,01.12.2017
Rubber Soul,F,러버소울,10.02.2015,Happy Tribe,2,3,-,Yes,0
Minx,F,밍스,18.09.2014,Happy Face,5,5,-,No,01.11.2016
DreamCatcher,F,드림캐쳐,13.01.2017,Happy Face,7,7,-,Yes,0
D.Holic,F,디홀릭,29.10.2014,H.Mate,4,5,-,No,01.01.2017
Girls Girls,F,여자여자,09.12.2015,H Brothers,4,5,-,No,01.01.2019
Gavy NJ,F,가비엔제이,11.11.2005,Good Fellas,3,3,-,Yes,0
Tiny-G,F,타이니지,23.08.2012,GNG,3,4,-,No,01.01.2015
Apple.B,F,애플비,01.08.2017,GH,5,5,-,No,01.01.2018
3YE,F,써드아이,21.05.2019,GH,3,3,-,Yes,0
Cherry Bullet,F,체리블렛,21.01.2019,FNC,7,10,-,Yes,0
FLAVOR,F,플레이버,26.11.2018,FENT,3,3,-,Yes,0
Weki Meki,F,위키미키,08.08.2017,Fantagio,8,8,-,Yes,0
Highteen,F,하이틴,14.10.2016,Elijah,4,4,-,Yes,0
Greyish,F,그레이시,01.06.2017,Elijah,4,4,-,Yes,0
P.O.P,F,피오피,26.07.2017,DWM,6,6,-,Yes,0
Rainbow,F,레인보우,12.08.2010,DSP,7,7,-,No,12.11.2016
Destiny,F,데스티니,28.09.2018,D-SIDE,4,4,-,Yes,0
Bloomy,F,블루미,01.02.2016,DS,4,4,-,Yes,0
Baby V.O.X,F,베이비복스,05.07.1997,DR Music,5,5,-,No,15.03.2006
Rania,F,라니아,06.04.2011,DR,5,8,-,Yes,0
S.I.S,F,에스아이에스,25.08.2017,Double X,6,6,-,Yes,0
Momoland,F,모모랜드,09.11.2016,Double Kick,6,7,-,Yes,0
Pungdeng-E,F,풍뎅이,11.12.2013,DOMA,3,3,-,Yes,0
(G)I-DLE,F,(여자)아이들,02.05.2018,Cube,6,6,-,Yes,0
Melody Day,F,멜로디데이,25.02.2014,Cre.Ker,4,3,-,No,25.12.2018
Playback,F,플레이백,25.06.2015,Coridel,5,4,-,Yes,0
Davichi,F,다비치,04.02.2008,CJ E&M,2,2,-,Yes,0
Crayon Pop,F,크레용팝,17.07.2012,Chrome,4,5,-,No,01.05.2017
Bob Girls,F,단발머리,10.06.2014,Chrome,4,4,-,No,01.02.2015
Mixx,F,믹스,02.05.2016,Chiko,5,4,-,No,27.03.2017
Unicorn,F,유니콘,03.09.2015,Cartoon Blue,4,5,-,No,01.01.2017
Camila,F,카밀라,29.08.2018,Camila,3,3,-,No,22.07.2019
Good Day,F,굿데이,30.08.2017,C9,10,10,-,No,01.11.2019
cignature,F,시그니처,04.02.2020,C9,7,7,-,Yes,0
